"K: 5, trainSize: 700, testSize: 700, attributes: 30, totalTime: 2.438738813998498, NP: 2"
"K: 5, trainSize: 3500, testSize: 3500, attributes: 30, totalTime: 93.45889306900062, NP: 2"
"K: 5, trainSize: 7000, testSize: 7000, attributes: 30, totalTime: 279.7259218470008, NP: 2"
"K: 5, trainSize: 10500, testSize: 10500, attributes: 30, totalTime: 573.1212890629995, NP: 2"
"K: 5, trainSize: 700, testSize: 700, attributes: 30, totalTime: 2.3998584519995347, NP: 4"
"K: 5, trainSize: 3500, testSize: 3500, attributes: 30, totalTime: 56.75460561700129, NP: 4"
"K: 5, trainSize: 7000, testSize: 7000, attributes: 30, totalTime: 224.670591909, NP: 4"
"K: 5, trainSize: 10500, testSize: 10500, attributes: 30, totalTime: 553.43377521, NP: 4"
"K: 5, trainSize: 700, testSize: 700, attributes: 30, totalTime: 3.1931091449987434, NP: 8"
"K: 5, trainSize: 3500, testSize: 3500, attributes: 30, totalTime: 45.36720364999928, NP: 8"
"K: 5, trainSize: 7000, testSize: 7000, attributes: 30, totalTime: 184.91959680999935, NP: 8"
"K: 5, trainSize: 10500, testSize: 10500, attributes: 30, totalTime: 404.6082464310002, NP: 8"
"K: 5, trainSize: 700, testSize: 700, attributes: 30, totalTime: 3.61262597500172, NP: 16"
"K: 5, trainSize: 3500, testSize: 3500, attributes: 30, totalTime: 48.235191547000795, NP: 16"
"K: 5, trainSize: 7000, testSize: 7000, attributes: 30, totalTime: 185.20278542699998, NP: 16"
"K: 5, trainSize: 10500, testSize: 10500, attributes: 30, totalTime: 417.155488669001, NP: 16"
"K: 5, trainSize: 700, testSize: 700, attributes: 30, totalTime: 7.1032553459990595, NP: 32"
"K: 5, trainSize: 3500, testSize: 3500, attributes: 30, totalTime: 59.028031708001436, NP: 32"
"K: 5, trainSize: 7000, testSize: 7000, attributes: 30, totalTime: 206.41568558900144, NP: 32"
"K: 5, trainSize: 10500, testSize: 10500, attributes: 30, totalTime: 643.5671159789999, NP: 32"
