"K: 5, trainSize: 700, testSize: 700, attributes: 30, totalTime: 1.290663719177246, NP: 2"
"K: 5, trainSize: 3500, testSize: 3500, attributes: 30, totalTime: 32.331225872039795, NP: 2"
"K: 5, trainSize: 7000, testSize: 7000, attributes: 30, totalTime: 133.97900009155273, NP: 2"
"K: 5, trainSize: 10500, testSize: 10500, attributes: 30, totalTime: 294.32534527778625, NP: 2"
"K: 5, trainSize: 700, testSize: 700, attributes: 30, totalTime: 1.3454904556274414, NP: 4"
"K: 5, trainSize: 3500, testSize: 3500, attributes: 30, totalTime: 31.962347984313965, NP: 4"
"K: 5, trainSize: 7000, testSize: 7000, attributes: 30, totalTime: 125.90993809700012, NP: 4"
"K: 5, trainSize: 10500, testSize: 10500, attributes: 30, totalTime: 291.39039969444275, NP: 4"
"K: 5, trainSize: 700, testSize: 700, attributes: 30, totalTime: 1.5999624729156494, NP: 8"
"K: 5, trainSize: 3500, testSize: 3500, attributes: 30, totalTime: 32.6316864490509, NP: 8"
"K: 5, trainSize: 7000, testSize: 7000, attributes: 30, totalTime: 134.14661598205566, NP: 8"
"K: 5, trainSize: 10500, testSize: 10500, attributes: 30, totalTime: 296.89733052253723, NP: 8"
"K: 5, trainSize: 700, testSize: 700, attributes: 30, totalTime: 2.1807096004486084, NP: 16"
"K: 5, trainSize: 3500, testSize: 3500, attributes: 30, totalTime: 51.6807541847229, NP: 16"
"K: 5, trainSize: 7000, testSize: 7000, attributes: 30, totalTime: 200.7749412059784, NP: 16"
"K: 5, trainSize: 10500, testSize: 10500, attributes: 30, totalTime: 392.19983077049255, NP: 16"
"K: 5, trainSize: 700, testSize: 700, attributes: 30, totalTime: 5.401308298110962, NP: 32"
"K: 5, trainSize: 3500, testSize: 3500, attributes: 30, totalTime: 66.30606079101562, NP: 32"
"K: 5, trainSize: 7000, testSize: 7000, attributes: 30, totalTime: 176.1787724494934, NP: 32"
"K: 5, trainSize: 10500, testSize: 10500, attributes: 30, totalTime: 331.9673569202423, NP: 32"
